Time,Volume,Open,High,Low,Close
2020-05-14T01:15:40.000000000Z,1,7.75114,7.75114,7.75114,7.75114
2020-05-14T01:16:05.000000000Z,2,7.75112,7.75112,7.75112,7.75112
2020-05-14T01:16:10.000000000Z,9,7.75112,7.75112,7.75109,7.75109
2020-05-14T01:16:15.000000000Z,5,7.75110,7.75110,7.75108,7.75108
2020-05-14T01:16:20.000000000Z,4,7.75109,7.75110,7.75109,7.75110
2020-05-14T01:16:30.000000000Z,1,7.75108,7.75108,7.75108,7.75108
2020-05-14T01:16:35.000000000Z,1,7.75108,7.75108,7.75108,7.75108
2020-05-14T01:16:45.000000000Z,1,7.75108,7.75108,7.75108,7.75108
2020-05-14T01:16:50.000000000Z,1,7.75108,7.75108,7.75108,7.75108
2020-05-14T01:23:20.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:23:30.000000000Z,2,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:23:45.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:24:00.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:25:10.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:27:10.000000000Z,2,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:28:00.000000000Z,1,7.75105,7.75105,7.75105,7.75105
2020-05-14T01:28:10.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:29:05.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:29:10.000000000Z,1,7.75104,7.75104,7.75104,7.75104
2020-05-14T01:30:00.000000000Z,1,7.75103,7.75103,7.75103,7.75103
2020-05-14T01:30:10.000000000Z,1,7.75103,7.75103,7.75103,7.75103
2020-05-14T01:31:05.000000000Z,1,7.75105,7.75105,7.75105,7.75105
2020-05-14T01:31:10.000000000Z,10,7.75104,7.75105,7.75093,7.75093
2020-05-14T01:31:15.000000000Z,3,7.75092,7.75094,7.75092,7.75094
2020-05-14T01:31:40.000000000Z,2,7.75094,7.75094,7.75092,7.75092
2020-05-14T01:32:10.000000000Z,2,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:32:25.000000000Z,2,7.75092,7.75092,7.75092,7.75092
2020-05-14T01:32:35.000000000Z,4,7.75093,7.75095,7.75093,7.75093
2020-05-14T01:32:40.000000000Z,3,7.75092,7.75094,7.75092,7.75093
